Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché,roe,de_ratio,roic,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,net_margin,revenue_growth_3y
"ALBPS","BIOPHYTIS S.A.","","France","Euronext","EUR","152.81","-0.68","-53.14","-168.16","957.01","-79.89","24.80","",""
"ALCBI","CRYPTO BLOCKCHAIN INDUSTRIES SA","","France","Euronext","EUR","-266.78","16.60","-43.94","-106.80","140.68","-22.97","21.13","-603.67","-6.15"
"ALCBX","CIBOX INTERACTIVE","","France","Euronext","EUR","-68.25","0.31","-41.60","-67.25","1.30","-39.05","2.89","-24.31","75.99"
"ALCJ","CROSSJECT S.A.","","France","Euronext","EUR","274.76","-4.61","-45.07","411.57","222.86","-45.69","4.27","",""
"ALCLA","CLARANOVA SE","","France","Euronext","EUR","","-19.69","","20.76","100.31","10.74","0.25","","-11.81"
"ALCLS","CELLECTIS S.A.","","France","Euronext","EUR","-65.33","1.20","-11.24","-67.46","34.49","-23.06","14.10","-92.66","882.96"
"ALCOX","NICOX S.A.","","France","Euronext","EUR","-51.16","0.07","-265.09","-99.03","70.81","-120.94","125.00","-14.39","55.87"
"ALCPB","CAPITAL B S.A.","","France","Euronext","EUR","-102.32","0.90","-91.97","-73.18","76.77","-36.98","47.73","-554.84","-25.90"
"TRI","TRIGANO S.A.","","Royaume-Uni","LSE","GBp","12.56","0.20","8.73","18.39","5.50","8.11","0.58","20.09","4.90"
"ALALO","ACHETER-LOUER.FR SA","","France","Euronext","EUR","5000.12","-1.05","-369.05","1918.41","2695.38","-156.36","185.69","-46680.33","-41.15"
"ALAMA","AMA CORP PLC","","France","Euronext","EUR","-703.79","-2.98","-79.29","-340.06","315.55","-98.46","17.41","-285.45","-18.81"
"CA","CARREFOUR SA","","France","Euronext","EUR","3.19","0.45","3.41","7.22","4.68","3.78","0.42","0.46","-0.52"
"ALAUD","AUDACIA S.A.","","France","Euronext","EUR","10.06","0.06","10.54","5.95","4.50","3.84","5.83","9.54","20.73"
"BVI","BUREAU VERITAS SA","","France","Euronext","EUR","32.17","1.76","11.71","29.24","2.93","11.44","0.42","9.43","4.98"
"ALCYB","CYBERGUN S.A.","","France","Euronext","EUR","-331.95","-2.36","-19.18","-127.91","178.71","-11.62","8.46","-55.74","1.16"
"ALENT","ENTREPARTICULIERS.COM","","France","Euronext","EUR","-153.35","3.43","-57.64","-65.52","151.76","-3.05","47.54","-207.36","-16.53"
"BNP","BNP PARIBAS SA","","France","Euronext","EUR","9.66","3.01","","9.29","0.36","","","18.69","7.32"
"BN","DANONE S.A.","","France","Euronext","EUR","10.84","0.85","6.41","9.58","3.55","5.64","0.88","6.92","-0.61"
"ALEUP","EUROPLASMA S.A.","","France","Euronext","EUR","213.77","-0.83","-30.70","-785.91","1719.69","-29.81","3.75","-53.86","113.80"
"ALEXP","ONE EXPERIENCE INC.","","France","Euronext","EUR","-10.20","0.58","-0.97","-12.53","4.95","-1.92","0.84","-15.97","-4.53"
"HO","THALES S.A.","","France","Euronext","EUR","21.10","0.77","4.39","17.86","3.60","3.89","0.43","7.41","9.60"
"ALFOR","FORSEE POWER SA","","France","Euronext","EUR","-66.14","1.82","-8.61","-48.43","22.87","-9.96","5.43","-23.26","-16.13"
"ETC","ENERGY SOLAR TECH S.A.","","Espagne","BME","EUR","15.24","0.04","6.41","6.58","7.57","5.27","1.07","66.28","3.14"
"ACA","CRÃ©DIT AGRICOLE S.A.","","France","Euronext","EUR","9.52","3.65","","9.65","0.29","","","30.67","5.81"
"ALDBT","DBT SA","","France","Euronext","EUR","","5.90","","","","","","",""
"BPCOF","BPCE S.A.","","France","Euronext","EUR","","","","","","","","",""
"ALDRV","DRONE VOLT S.A.","","France","Euronext","EUR","-86.70","0.13","-23.23","-68.46","30.09","-20.72","3.86","-158.19","-39.67"
"ALDV","AD CAPITAL SOCIÃ©TÃ© D'INVESTISSEMENTS IMMOBILIERS COTÃ©E","","France","Euronext","EUR","-3.17","0.00","0.06","-2.33","1.53","-0.06","0.11","-159.85","-1.48"
"ALDVI","ADVICENNE S.A.","","France","Euronext","EUR","41.95","-0.72","-62.62","49.30","13.74","-79.52","16.05","-158.69","16.07"
"ALAGO","E-PANGO SAS","","France","Euronext","EUR","27.68","-3.21","-26.51","295.15","421.69","-24.82","1.52","-85.69","0.14"
"ABNX","ABIONYX PHARMA SA","","France","Euronext","EUR","-92.29","0.84","-38.68","-65.22","23.98","-30.81","8.59","-136.60","-6.42"
"CLARI","CLARIANE SE","","France","Euronext","EUR","0.23","2.00","1.47","-1.15","1.32","1.48","0.07","0.17","3.10"
"ABVX","ABIVAX SA","","France","Euronext","EUR","-135.58","0.00","-259.67","-143.32","6.94","-179.45","71.62","",""
"AC","ACCOR SA","","France","Euronext","EUR","9.80","0.91","5.94","11.35","1.35","5.92","0.48","8.85","5.61"
"ACAPV","CREDIT AGRICOLE S.A.","","France","Euronext","EUR","","","","","","","","",""
"AB","AB SCIENCE S.A.","","France","Euronext","EUR","7.60","-1.10","2.26","28.29","18.29","-24.73","28.44","-132.62","10.01"
"LI","KLÃ©PIERRE SA","","France","Euronext","EUR","13.19","0.74","4.04","8.99","6.34","3.57","0.74","93.08","5.05"
"COFA","COFACE SA","","France","Euronext","EUR","10.09","1.06","3.80","11.40","1.16","4.09","0.40","13.39","1.87"
"CO","CASINO, GUICHARD-PERRACHON S.A.","","France","Euronext","EUR","121.42","3.08","-0.84","-81.55","249.43","0.04","0.85","-4.21","-5.84"
"GNFT","GENFIT S.A.","","France","Euronext","EUR","-368.27","-6.69","-41.94","-133.88","203.86","-20.83","22.31","-131.38","51.35"
"AAC9L","LCL EMISSIONS PTY LTD.","","France","Euronext","EUR","","","","","","","","",""
"AAD4L","LCL EMISSIONS CORP.","","France","Euronext","EUR","","","","","","","","",""
"LAT","LATÃ©COÃ¨RE","","France","Euronext","EUR","-40.93","2.43","0.55","-28.69","31.11","-3.00","5.43","-4.25","10.27"
"AF","AIR FRANCE-KLM SA","","France","Euronext","EUR","110.91","6.51","4.58","28.73","112.90","4.10","0.47","5.31","4.86"
"AFME","AFFLUENT MEDICAL S.A.","","France","Euronext","EUR","-47.70","0.54","-20.06","-44.99","4.87","-19.40","1.26","-357.92",""
"AI","AIR LIQUIDE S.A.","","France","Euronext","EUR","13.36","0.50","8.07","13.09","0.26","8.21","0.16","13.53","-1.22"
"CARM","CARMILA S.A.","","France","Euronext","EUR","5.45","0.79","4.61","4.96","4.66","4.61","2.33","34.18","8.50"
"KER","KERING SA","","France","Euronext","EUR","0.90","1.17","2.31","9.53","9.66","5.88","4.33","0.95","-13.40"
"AKE","ARKEMA SA","","France","Euronext","EUR","0.84","0.65","1.88","3.76","2.58","4.03","1.91","0.68","-2.37"
"CAP","CAPGEMINI SE","","France","Euronext","EUR","13.69","0.81","7.80","15.08","1.41","8.37","0.57","7.15","-0.13"
"AL2SI","2CRSI S.A.","","France","Euronext","EUR","","2.33","","-30.46","35.40","-11.07","17.17","","1.90"
"AIR","AIRBUS SE","","France","Euronext","EUR","21.62","0.42","3.80","22.31","1.06","3.62","0.17","6.76","5.92"
"ADOC","ADOCIA SA","","France","Euronext","EUR","2076.47","5.97","-50.56","825.23","1083.69","-39.93","13.68","-1124.81","-17.17"
"ADP","AUTOMATIC DATA PROCESSING, INC.","","France","Euronext","EUR","7.80","1.85","3.45","10.93","4.01","4.20","0.80","6.35","10.45"
"GTT","GAZTRANSPORT ET TECHNIGAZ SA","","France","Euronext","EUR","78.68","0.21","81.49","77.81","9.85","77.42","9.74","51.51","37.02"
"TNG","TRANSGENE SA","","France","Euronext","EUR","-54.80","0.00","-95.59","-119.61","88.53","-85.76","13.37","-7657.96","-41.87"
"AUB5L","AMUNDI FINANCE EMISSIONS S.A.","","France","Euronext","EUR","","","","","","","","",""
